3131
20907
4173
1223677
1813
82809
11701
8452
1012
224513
440414
Nicole Apelian
Nicole Kidman
Nina Dobrev
Nora Ephron
Norman J. Warren
Odette Annable
Olga Kurylenko
Oliver Stone
Olivia Wilde
Orlando Bloom
Orson Welles
Owen Wilson
Park Chan-wook
Patrick Stewart
Patrick Wilson
Patton Oswalt
Paul Newman
Paul Rudd
Paul Schrader
Paul Thomas Anderson
Paul Verhoeven
Paul W. S. Anderson
Penelope Cruz
Penélope Cruz
Penny Marshall
Peter Bogdanovich
Peyton List
Phil Lord
Philip Seymour Hoffman
Quentin Dupieux
Quentin Tarantino
Rachel McAdams
Rachel Weisz
Rami Malek
Ray Harryhausen
Rebecca Romijn
Reese Witherspoon
Richard Donner
Richard Gere
Richard Linklater
Richard Pryor
Ridley Scott
Rob Schneider
Rob Zombie
Robert Altman
Robert De Niro
Robert Downey Jr.
Robert Duval
Robert Mark Kamen
Robert Redford
Robert Rodriguez
Robert Zemeckis
Robin Williams
Roger Moore
Roman Polanski
Ron Howard
Rooney Mara
Rosamund Pike
Rosario Dawson
Russ Meyer
Russell Crowe
Ryan Gosling
Ryan Reynolds
Sacha Baron Cohen
Safdie Brothers
Sam Neill
Samuel L. Jackson
Sandra Bullock
Saoirse Ronan
Satoshi Kon
Scarlett Johansson
Sean Bean
Sean Connery
Sean Penn
Sergio Leone
Seth MacFarlane
Seth Rogen
Shia LaBeouf
Sidney Lumet
Sigourney Weaver
Sofia Coppola
Sofía Vergara
Spike Jonze
Spike Lee
Stan Lee
Stanley Kubrick
Stephen King
Steve Buscemi
Steve Carell
Steve Irwin
Steve Martin
Steve Zahn
Steve Zaillian
Steven Seagal
Steven Soderbergh
Steven Spielberg
Susan Sarandon
Sydney Pollack
Sylvester Stallone
Taika Waititi
Takashi Miike
Ted Elliott
Terrence Malick
Terry Gilliam
Terry Rossio
The Wachowskis
Thomas Vinterberg
Tilda Swinton
Tim Allen
Tim Bevan
Tim Burton
Timothy Olyphant
Tobe Hooper
Tom Cruise
Tom Hanks
Tom Holland
Tom Pevsner
Tom Rosenberg
Tom Segura
Tommy Lee Jones
Tony Scott
Trey Parker
Uma Thurman
Uwe Boll
Vin Diesel
Vince Vaughn
Walter Hill
Werner Herzog
Wes Anderson
Wes Craven
Wesley Snipes
Will Ferrell
Will Smith
Willem Dafoe
William Castle
William Friedkin
Wong Kar-wai
Woody Allen
Woody Harrelson
Wyck Godfrey
Yorgos Lanthimos
Yvonne Strahovski
Zack Snyder
Zoe Saldana
